current_url,public_path,active_source_file,shadowed_source_file,service_type,city_location,current_system,active_status,migration_priority,recommended_new_yaml_filename,keep_same_url,title,h1
https://meek-bublanina-442e19.netlify.app/branding-design-breda/,/branding-design-breda/,branding-design-breda/index.html,,branding en design,breda,old recovery,root page active,high,breda-branding-design.yaml,yes,Branding en design Breda | Merkidentiteit door BDMNL,Branding en design Breda voor een merk dat professioneler voelt.
https://meek-bublanina-442e19.netlify.app/branding-design-delft/,/branding-design-delft/,branding-design-delft/index.html,,branding en design,delft,old recovery,root page active,high,delft-branding-design.yaml,yes,Branding en design Delft | Merkidentiteit door BDMNL,Branding en design Delft voor een merk dat professioneler voelt.
https://meek-bublanina-442e19.netlify.app/branding-design-goes/,/branding-design-goes/,branding-design-goes/index.html,,branding en design,goes,old recovery,root page active,high,goes-branding-design.yaml,yes,Branding en design Goes | Merkidentiteit door BDMNL,Branding en design Goes voor een merk dat professioneler voelt.
https://meek-bublanina-442e19.netlify.app/branding-design-leiden/,/branding-design-leiden/,branding-design-leiden/index.html,,branding en design,leiden,old recovery,root page active,high,leiden-branding-design.yaml,yes,Branding en design Leiden | Merkidentiteit door BDMNL,Branding en design Leiden voor een merk dat professioneler voelt.
https://meek-bublanina-442e19.netlify.app/branding-design-middelburg/,/branding-design-middelburg/,branding-design-middelburg/index.html,,branding en design,middelburg,old recovery,root page active,high,middelburg-branding-design.yaml,yes,Branding en design Middelburg | Merkidentiteit door BDMNL,Branding en design Middelburg voor een merk dat professioneler voelt.
https://meek-bublanina-442e19.netlify.app/branding-design-rotterdam/,/branding-design-rotterdam/,branding-design-rotterdam/index.html,,branding en design,rotterdam,old recovery,root page active,high,rotterdam-branding-design.yaml,yes,Branding en design Rotterdam | Merkidentiteit door BDMNL,Branding en design Rotterdam voor een merk dat professioneler voelt.
https://meek-bublanina-442e19.netlify.app/branding-design-terneuzen/,/branding-design-terneuzen/,branding-design-terneuzen/index.html,,branding en design,terneuzen,old recovery,root page active,high,terneuzen-branding-design.yaml,yes,Branding en design Terneuzen | Merkidentiteit door BDMNL,Branding en design Terneuzen voor een merk dat professioneler voelt.
https://meek-bublanina-442e19.netlify.app/branding-design-vlissingen/,/branding-design-vlissingen/,branding-design-vlissingen/index.html,,branding en design,vlissingen,old recovery,root page active,high,vlissingen-branding-design.yaml,yes,Branding en design Vlissingen | Merkidentiteit door BDMNL,Branding en design Vlissingen voor een merk dat professioneler voelt.
https://meek-bublanina-442e19.netlify.app/branding-design-zierikzee/,/branding-design-zierikzee/,branding-design-zierikzee/index.html,,branding en design,zierikzee,old recovery,root page active,high,zierikzee-branding-design.yaml,yes,Branding en design Zierikzee | Merkidentiteit door BDMNL,Branding en design Zierikzee voor een merk dat professioneler voelt.
https://meek-bublanina-442e19.netlify.app/hosting-breda/,/hosting-breda/,hosting-breda/index.html,,hosting,breda,old recovery,root page active,high,breda-hosting.yaml,yes,Hosting Breda | Snelle en betrouwbare websitebasis door BDMNL,"Hosting Breda voor een snelle, veilige en betrouwbare website."
https://meek-bublanina-442e19.netlify.app/hosting-delft/,/hosting-delft/,hosting-delft/index.html,,hosting,delft,old recovery,root page active,high,delft-hosting.yaml,yes,Hosting Delft | Snelle en betrouwbare websitebasis door BDMNL,"Hosting Delft voor een snelle, veilige en betrouwbare website."
